S/N,ID,Gender,BI80541,BI80542,CHE80541,CHE80542,CE80541,PE80541,CL80511,Total,percentage,rank
30,223007265,M,68.55,90.6,74.75,77,88.35,86.48,89.5,485.73,80.96,1
38,223010123,F,73.5,86,71.5,74.25,85.76,83.21,86,474.22,79.04,2
31,223007934,F,74.55,87.1,65.25,74.5,81.04,85.2,92.5,467.64,77.94,3
52,223016935,F,75.5,87.1,66.25,68,77.87,88.65,88,463.37,77.23,4
19,223002095,M,64,85.1,77.75,67.25,89.46,77.05,88,460.61,76.77,5
11,223000983,F,72.5,84.1,64,63,83.44,81.43,87,448.47,74.75,6
32,223008071,M,70.05,83.8,61,64.33,85.23,82.56,85.5,446.97,74.5,7
25,223002613,M,65.3,86.3,66.25,66.75,81.36,80,87.5,445.96,74.33,8
26,223002841,F,70.05,83.55,64.25,65.83,84.37,77.36,86,445.41,74.24,9
43,223012905,M,66.75,86.3,64.5,66.08,80.68,80.33,82,444.64,74.11,10
18,223001935,F,69.75,81,70.75,60.5,84.81,75.71,87.5,442.52,73.75,11
21,223002303,M,67.5,81.5,61.25,63.67,83.97,80.96,85.5,438.85,73.14,12
14,223001250,F,59.55,80.55,63.75,72.83,86.38,73.56,88,436.62,72.77,13
51,223016737,M,61.8,82.8,61.25,71.83,79.27,79.59,77,436.54,72.76,14
46,223014628,F,64.5,85.75,65.5,65.58,77.11,77.79,81,436.23,72.71,15
27,223003399,F,68,85.85,63.25,58.5,80.46,79.36,78,435.42,72.57,16
17,223001670,M,64.8,87.3,65.25,66.5,70.15,80.26,79,434.26,72.38,17
47,223014800,F,64,81.25,60.5,70.17,80.84,76.91,85.5,433.67,72.28,18
16,223001558,F,65,84.1,65,58,82.59,75.44,87.5,430.13,71.69,19
57,223022787,M,59.25,86.3,59.75,60.75,77.38,84.42,85,427.85,71.31,20
10,223000614,F,63,85.25,59,59.5,80.55,80.04,85,427.34,71.22,21
24,223002546,M,61.5,79.5,57.75,70.17,83.77,73.96,86,426.65,71.11,22
12,223001098,M,67.25,79.3,60,68.58,74.17,75.59,81,424.89,70.82,23
22,223002430,F,68.3,85.1,53.75,58.5,78.12,80.67,85,424.44,70.74,24
6,222008860,M,65.25,77.25,62.25,61,79.01,73.64,85,418.4,69.73,25
9,223000521,M,60.25,82.85,58.25,64.25,69.37,81.52,79.5,416.49,69.42,26
60,223023892,F,61.5,70.8,61.75,64.58,78.51,76.91,83.5,414.05,69.01,27
37,223009601,F,64.5,85.3,54.25,52.4,76.7,79.98,85.5,413.13,68.86,28
23,223002464,F,65.8,79.1,60.75,50.25,75.08,81.77,82,412.75,68.79,29
40,223011868,F,66.3,80.25,55.5,57.08,72.47,80.72,84.5,412.32,68.72,30
59,223023425,M,67.5,79.75,58.75,54.08,74.06,77.94,80.5,412.08,68.68,31
45,223013660,M,61.5,83.3,59.5,56.75,77.65,72.89,81.5,411.59,68.6,32
36,223009302,F,61.3,73.6,60.75,63.25,71.12,81.44,83,411.46,68.58,33
55,223019880,M,64.05,77.55,54.5,59.58,76.83,78.43,78.5,410.94,68.49,34
33,223008208,M,67.5,81.8,55,56.25,75.62,74.53,85,410.7,68.45,35
53,223018108,F,51.55,80.5,55.25,65.08,82.95,73.95,78.5,409.28,68.21,36
44,223013369,F,62,77.5,58.5,57.75,71.86,79.32,81,406.93,67.82,37
49,223015430,F,62.5,80.35,50.5,54.75,78.48,77.82,80.5,404.4,67.4,38
8,223000497,F,63.25,80.6,50.25,59.42,75.14,75.02,81,403.68,67.28,39
1,219001744,F,56.05,75.85,62.25,52,78.47,78.66,82,403.28,67.21,40
48,223015063,F,59.8,80.75,52.25,60.83,71.41,75.4,79,400.44,66.74,41
28,223003919,F,56.3,75.85,51.75,62.08,77.18,76.27,79,399.43,66.57,42
35,223009115,M,59.75,80.55,60.25,59.58,63.01,75.63,76.5,398.77,66.46,43
54,223019825,M,64.75,77.8,50.75,44.83,76.46,82.29,81,396.88,66.15,44
15,223001262,M,61.8,75.55,55.5,50.08,77.17,72.37,84.5,392.47,65.41,45
3,221017932,F,50.05,75.85,50.5,58.25,69.95,74.75,85,379.35,63.23,46
41,223012753,M,54.5,73.85,52,50,72.92,73.28,86.5,376.55,62.76,47
58,223023398,M,52.5,72.35,54,52.75,72.81,57.12,84.5,361.53,60.26,48
42,223012805,F,50.25,60.1,54.75,50,70.67,74.34,69,360.11,60.02,49
5,222005188,F,54.25,71.85,40.25,52.75,66.09,68.68,81,353.87,58.98,50
34,223008705,F,50.5,69.8,41.25,50.08,62.3,73.49,71.5,347.42,57.9,51
13,223001237,M,50,75.55,50.25,50,60.93,60.38,75,347.11,57.85,52
29,223006409,F,51,72.5,38.25,52.92,59.1,70.09,75.5,343.86,57.31,53
39,223010777,M,50.75,67.8,41,54.25,57.57,71.86,77,343.23,57.21,54
4,222002922,F,50,66.85,38.25,41.5,72.68,71.71,80,340.99,56.83,55
7,222022445,M,39.5,75.1,38.5,54.08,58.15,63.58,80,328.91,54.82,56
50,223015997,M,38.75,69.55,42.75,44.33,56.13,64.99,76.5,316.5,52.75,57
56,223019994,M,42.5,65.1,37.75,40,66.89,61.57,77.5,313.81,52.3,58
2,221010897,M,41.5,60.8,34.75,43.75,51.12,64.05,54.5,295.97,49.33,59
20,223002121,F,,,,,,0,32.5,0,0,60
