S/N,ID,Gender,CE80341,CE80342,MA80341,MA80342,CH80341,CH80342,CL80311,total,percentage,rank
8,224001427,M,74,83,86.66,79.33,81.14,77,71.5,552.63,78.94714286,1
29,224008295,F,84,88,70.85,71.04,75.27,74.25,77.5,540.91,77.27285714,2
21,224006086,F,82,92.5,74.62,74.46,69.41,67.38,76.5,536.87,76.69571429,3
32,224012245,M,79,84,81.87,76.96,72.22,60.13,77,531.18,75.88285714,4
10,224001548,M,80,80,70.41,73.5,73.65,75.5,76.5,529.56,75.65142857,5
19,224004837,F,85,84,63.19,67.96,78.89,70.25,75.5,524.79,74.97,6
28,224008202,M,79,86.5,71.21,67.75,73.83,66.13,76.5,520.92,74.41714286,7
24,224006593,M,81,87.5,67.23,69.83,62.46,65.38,73,506.4,72.34285714,8
41,224010150,F,77,78.5,66.13,72.04,68.12,64.75,78.5,505.04,72.14857143,9
6,224000949,M,86,73,62.83,65.54,73.7,68,75.5,504.57,72.08142857,10
15,224004072,M,77,87,65.66,69.5,63.69,63.25,74,500.1,71.44285714,11
3,223028660,F,82,83,61.04,72.13,58.66,67.25,74.5,498.58,71.22571429,12
26,224007782,F,83,83,67.45,65.63,63.47,62,71,495.55,70.79285714,13
31,224010875,M,72,82,68.52,68.04,67.34,61,76,494.9,70.7,14
14,224003872,M,79,82,62.78,69.08,64.25,68.75,68,493.86,70.55142857,15
22,224006283,M,81,84.5,60.52,66.38,62.67,64,72,491.07,70.15285714,16
48,225051375,M,-,-,-,-,-,64.25,76,140.25,70.125,17
5,224000792,M,85,78.5,62.38,55.75,66.21,72,71,490.84,70.12,18
50,225051372,M,-,-,-,-,-,63.13,72,135.13,67.565,19
12,224002263,F,77,77,65.76,59.04,59.1,58.75,76,472.65,67.52142857,20
43,224021478,F,80,76,67.92,55.08,55.5,56.25,80,470.75,67.25,21
17,224004627,F,65,72.5,78.14,53.75,60.92,59.63,78,467.94,66.84857143,22
13,224002893,F,77,77.5,60.78,56.13,63.59,61.88,71,467.88,66.84,23
18,224004821,M,79,69.5,58.08,66.83,61.31,54.75,77.5,466.97,66.71,24
11,224001780,M,74,74,72.74,53.25,58.33,61.5,71.5,465.32,66.47428571,25
38,224002112,F,78,83,54.94,55.83,59.78,60.5,70.5,462.55,66.07857143,26
46,225051366,M,-,-,-,-,-,51,81,132,66,27
37,224000372,M,76,77,65.79,56.46,54.33,57.13,73,459.71,65.67285714,28
16,224004513,F,75,79.5,58.95,59.46,58.39,52.13,76,459.43,65.63285714,29
54,219002881,M,-,-,-,-,62.91,60.88,73,196.79,65.59666667,30
47,215036192,M,-,-,-,-,-,54.13,77,131.13,65.565,31
20,224005674,F,65,82.5,58.95,51.83,62.4,61.63,76,458.31,65.47285714,32
40,224003186,F,75,82,58.68,55.75,50.49,55.63,78.5,456.05,65.15,33
33,224015714,M,78,83,58.09,50.08,53.16,57.13,72,451.46,64.49428571,34
39,224002274,M,78,71,57.28,55.83,53.59,60,73,448.7,64.1,35
25,224007638,M,55,82,68.08,53,55.48,58.75,72.5,444.81,63.54428571,36
27,224008064,M,61,82,56.34,59.96,54.58,60.38,68,442.26,63.18,37
2,223005352,F,67,85,58.81,60,50,50.13,71,441.94,63.13428571,38
1,223004665,F,73,75,58.82,56.5,52.13,54.75,71.5,441.7,63.1,39
7,224001047,F,70,73.5,59.29,60.96,47.01,58.25,71,440.01,62.85857143,40
9,224001438,M,68,78.5,62.42,62.21,53.77,50.5,63.5,438.9,62.7,41
34,224021426,M,75,78.5,53.19,54,44.81,50.88,75.5,431.88,61.69714286,42
35,223010711,F,74,81,56.75,51.63,43.45,50.13,73.5,430.46,61.49428571,43
30,224009232,M,69,76.5,50.62,59.63,43.23,57.13,74,430.11,61.44428571,44
45,216167914,F,-,-,-,-,-,50.38,72.5,122.88,61.44,45
51,225051304,F,-,-,-,-,-,62.63,59,121.63,60.815,46
36,223028699,F,66,84.5,43.75,52.71,51.67,51.63,74.5,424.76,60.68,47
23,224006437,M,77,72,58.78,50.96,46.16,51.63,66,422.53,60.36142857,48
44,215036184,M,-,-,-,-,-,53.88,66,119.88,59.94,49
42,224021454,M,73,83.5,50.48,50.88,42.11,40.38,71.5,411.85,58.83571429,50
49,215016201,M,-,-,-,-,-,56.5,60,116.5,58.25,51
4,224000751,F,71,74.5,54.33,56.25,0,52.75,74,382.83,54.69,52
52,225051459,F,-,-,-,-,-,50.63,49,99.63,49.815,53
