SN,Ref.No.,Gender,PH80541,PH80542,GE80541,GE80542,CE80541,PE80541,CL80511,Total,percentage,rank
6,223009379,M,80.88,81,73,82,72.5,71,72.5,460.38,76.73,1
7,223009482,F,76,72.5,69,82.25,78,78,76.5,455.75,75.96,2
11,223011099,M,61,89,73.5,79.5,81,65,76,449,74.83,3
16,223013056,M,76.5,80,66.5,75,79,65,72,442,73.67,4
10,223011096,F,63.5,66,74,79.5,81.5,75,74.5,439.5,73.25,5
20,223015610,F,76.88,72.5,74.5,80.25,60,72,72,436.13,72.69,6
12,223011365,M,71.75,65,65.5,75,76,79,79,432.25,72.04,7
22,223020235,F,60,69.5,74,76,78,70,80.5,427.5,71.25,8
5,223009052,F,82,55.5,64,75.75,74,75,73.5,426.25,71.04,9
9,223010154,M,62.5,80,67.5,77,66,65,57,418,69.67,10
18,223013400,M,74.88,51,78,78.5,71,61,74.5,414.38,69.06,11
3,223005898,F,67.63,72.5,70.5,77.5,66,60,72.5,414.13,69.02,12
1,223005336,M,71.25,60,60,76.5,74,63,71.5,404.75,67.46,13
21,223016345,F,60.75,64,68.5,73.25,71,63,78.5,400.5,66.75,14
19,223015515,M,56.75,70.5,71,70.75,67,62,76,398,66.33,15
14,223011712,F,57.25,62,66.5,78,62,63,66,388.75,64.79,16
4,223008677,M,57.13,61,64,77.75,58,59,65,376.88,62.81,17
15,223012004,M,68.5,43,69,64,70,62,78,376.5,62.75,18
8,223010121,M,64.5,60,57.5,69.25,67,54,60,372.25,62.04,19
13,223011569,F,26.75,37,65,71.25,70,70,60,340,56.67,20
2,223005801,M,52.5,35,59.5,69.25,55,51,59,322.25,53.71,21
17,223013091,M,17.25,,,,,,,17.25,2.88,22
