S/N,ID,Gender,CE80341,CE80342,CS80341,CS80342,CS80343,PH80343,CL80311,total,percentage,rank
27,224008515,M,82,82.5,81,81,89.57,80.69,76.5,573.26,81.89428571,1
36,224011611,F,82,89,84.5,84.2,82.14,77.31,74,573.15,81.87857143,2
41,224012551,F,83,92,81,79.3,72.86,81.63,72.5,562.29,80.32714286,3
17,224006526,F,78,81.9,82.5,78.5,79.36,82.69,75,557.95,79.70714286,4
18,224006676,M,77,89.4,93,74.7,74.64,76.06,72.5,557.3,79.61428571,5
31,224009987,M,74,82.5,84,81.5,82.5,77.81,71,553.31,79.04428571,6
44,224013346,F,76,78.2,75.5,83.9,82.71,81.56,75,552.87,78.98142857,7
8,224004374,M,86,84,79,69.5,86.14,76.56,71.5,552.7,78.95714286,8
48,224013811,M,77.5,90.4,79,78.5,79.43,76.75,71,552.58,78.94,9
20,224007014,M,84,82.9,76,79.3,76.21,79.94,73.5,551.85,78.83571429,10
54,224015841,M,74,89,80,82,73.93,79,70.5,548.43,78.34714286,11
53,224015208,F,78,84.9,79,76.3,75.93,69.94,74.5,538.57,76.93857143,12
16,224006364,M,67,87.7,81.5,76.6,81.36,77.13,66.5,537.79,76.82714286,13
3,224001268,M,73,82.5,78.5,81.9,77.79,66.88,71,531.57,75.93857143,14
19,224006714,F,74,76,80.5,80,63.71,77.06,79,530.27,75.75285714,15
2,224000645,F,71,92,75.5,75.6,71.71,69.13,74.5,529.44,75.63428571,16
14,224005993,M,70,90.5,83.5,72.5,80,63.13,69,528.63,75.51857143,17
40,224012532,M,76,85,75,78.9,77.5,61.56,73,526.96,75.28,18
33,224010630,F,74,73,76.5,84.4,72.86,75.25,69.5,525.51,75.07285714,19
10,224005238,F,84,81.1,67,77.4,70.57,73.69,71,524.76,74.96571429,20
7,224003335,M,73,75.9,75,83.2,74.21,68.06,73,522.37,74.62428571,21
56,224015982,F,82,84.5,77,67.3,69.86,66.19,74.5,521.35,74.47857143,22
47,224013748,F,73,82.5,69,69.8,79.57,71.69,74,519.56,74.22285714,23
26,224007974,M,68,81,75.5,76.3,84.64,62.13,67.5,515.07,73.58142857,24
30,224009778,F,77,80.4,74,71.7,66.86,76.31,68.5,514.77,73.53857143,25
46,224013707,F,74,83.5,74,72.9,70.79,78.25,60,513.44,73.34857143,26
21,224007165,M,69,81.6,73,70.9,68.93,73.69,72.5,509.62,72.80285714,27
4,224002904,M,71.5,78.9,76.5,75.5,65.21,69.5,72.5,509.61,72.80142857,28
57,224016924,F,72,79,73.5,74.9,61.5,71.69,76.5,509.09,72.72714286,29
9,224004854,M,61,81.5,70,72.3,75.71,75.88,72,508.39,72.62714286,30
58,222019031,M,81.5,88.7,70,65.9,67.21,65.25,67,505.56,72.22285714,31
55,224015902,F,73,83.5,69,70.8,70,65,74,505.3,72.18571429,32
43,224013203,M,69,77,78.5,74.5,70.57,73.13,62.5,505.2,72.17142857,33
51,224014965,F,71,90,72,68.7,70.64,60.88,71,504.22,72.03142857,34
34,224010991,M,65,87.5,67.5,71.8,63.79,73.69,73.5,502.78,71.82571429,35
12,224005837,M,74,78.5,82.5,67.9,67.86,58.94,72.5,502.2,71.74285714,36
35,224011548,F,71,74.7,71,76.6,70.79,69.06,68.5,501.65,71.66428571,37
15,224006291,M,67,75,79,75.5,58.71,73,73,501.21,71.60142857,38
25,224007685,F,63,81.4,73.5,72.2,68.89,70.31,71.5,500.8,71.54285714,39
39,224012150,F,76.5,77.9,76.5,68.5,57.5,67.88,70,494.78,70.68285714,40
23,224007373,M,74,78,65.5,67.4,67.57,68.06,73.5,494.03,70.57571429,41
6,224003313,F,71,83.4,68,71.1,74.71,54.69,69.5,492.4,70.34285714,42
13,224005873,M,79,80.2,76,67.1,57.36,72.25,60,491.91,70.27285714,43
37,224011807,M,71,86.7,65.5,69.6,64.29,60.75,70.5,488.34,69.76285714,44
11,224005332,F,70,79.5,67.5,77.9,60.86,66.94,65.5,488.2,69.74285714,45
24,224007636,F,77,78,73.5,60.7,60,69.69,67,485.89,69.41285714,46
1,223007150,M,66,80.1,71.5,76.1,66.71,63.88,61,485.29,69.32714286,47
28,224008588,M,58,81.5,77.5,74,55.14,69.44,68.5,484.08,69.15428571,48
38,224011882,M,68,84,68.5,75,76,39.31,72.5,483.31,69.04428571,49
52,224015206,M,62.5,79.5,72.5,69.3,67.5,76.38,55,482.68,68.95428571,50
61,224006448,F,59.5,81,78.5,68.3,61.93,58.44,67,474.67,67.81,51
59,224002765,M,65,85.9,67.5,69.1,56.07,58,70.5,472.07,67.43857143,52
50,224014777,F,62,81.2,62.5,73.1,64.43,63.19,65,471.42,67.34571429,53
22,224007367,F,70,82.2,68.5,69.8,64.5,63.5,52.5,471,67.28571429,54
45,224013565,M,53,80.2,73,71,63.79,51.19,70.5,462.68,66.09714286,55
29,224009528,F,63,77.9,69.5,61.8,58.14,62.44,67.5,460.28,65.75428571,56
62,224010862,M,62,78,55,66.5,54.36,69.06,74,458.92,65.56,57
32,224010113,M,55,75.5,70,76,50.93,64.56,63,454.99,64.99857143,58
5,224003245,F,59.5,80,36.5,74.5,69.36,71.38,63.4,454.64,64.94857143,59
60,224006329,F,64,78.2,65,67.3,66.21,58.06,53,451.77,64.53857143,60
42,224012862,F,64,76,71,61,56.64,61.56,48,438.2,62.6,61
49,224014504,F,63,77.9,63.5,57.8,61,50,63.5,436.7,62.38571429,62
,,,,TOP 30,BUTTOM,,,,,,0,
,,TOTAL GIRLS,30,14,16,,,,,,,
,,TOTAL BOYS,32,16,16,,,,,,,
